N,seed,t,status
5,0,0.3462059497833252,ok
5,1,0.3104109764099121,ok
5,2,0.2892138957977295,ok
5,3,0.6404659748077393,ok
5,4,0.7221710681915283,ok
5,5,0.7989501953125,ok
5,6,0.3760409355163574,ok
5,7,2.4933080673217773,ok
10,0,1.0513339042663574,ok
10,1,2.7019107341766357,ok
10,2,3.0635080337524414,ok
10,3,0.7271409034729004,ok
10,4,1.640704870223999,ok
10,5,0.959517240524292,ok
10,6,1.1361510753631592,ok
10,7,1.531562089920044,ok
15,0,2.8763039112091064,ok
15,1,1.187408208847046,ok
15,2,1.2862191200256348,ok
15,3,2.6434240341186523,ok
15,4,7.379854917526245,ok
15,5,1.7326579093933105,ok
15,6,4.5088050365448,ok
15,7,2.1410839557647705,ok
20,0,4.180427074432373,ok
20,1,6.06410813331604,ok
20,2,5.010881185531616,ok
20,3,2.2483272552490234,ok
20,4,4.943481206893921,ok
20,5,8.935224056243896,ok
20,6,5.15845513343811,ok
20,7,6.756304740905762,ok
25,0,14.233612775802612,ok
25,1,7.116894960403442,ok
25,2,3.63936710357666,ok
25,3,10.607417106628418,ok
25,4,11.832617282867432,ok
25,5,23.522062063217163,ok
25,6,11.55467700958252,ok
25,7,12.923701047897339,ok
30,0,14.400984764099121,ok
30,1,15.98309874534607,ok
30,2,12.720381021499634,ok
30,3,7.8879759311676025,ok
30,4,9.477555990219116,ok
30,5,6.58958888053894,ok
30,6,29.503618001937866,ok
30,7,11.060919046401978,ok
35,0,11.40363597869873,ok
35,1,36.31831502914429,ok
35,2,222.46632504463196,ok
35,3,24.01359224319458,ok
35,4,37.67860198020935,ok
35,5,20.678590059280396,ok
35,6,76.65281987190247,ok
35,7,71.45419502258301,ok
40,0,169.16118812561035,ok
40,1,19.983336925506592,ok
40,2,30.50245213508606,ok
40,3,157.4731252193451,ok
40,4,63.014163970947266,ok
40,5,376.77699422836304,ok
40,6,411.39370703697205,ok
40,7,129.47948575019836,ok
45,0,350.4213619232178,ok
45,1,120.12873196601868,ok
45,2,57.19963598251343,ok
45,3,56.895997762680054,ok
45,4,75.51689028739929,ok
45,5,33.69055700302124,ok
45,6,600.0756599903107,ok
45,7,163.06301021575928,ok
50,0,139.97203302383423,ok
50,1,92.61484098434448,ok
50,2,197.0801978111267,ok
50,3,866.1662509441376,ok
50,4,773.0756752490997,ok
50,5,342.98522305488586,ok
50,6,75.98059606552124,ok
50,7,58.010753870010376,ok
